timestamp_utc,case_id,case_file,action,parameter,changed_fields,before,after,reason,model,prompt_version,status
2026-09-25T19:48:28.272177+00:00,case_001_disdoc,data/train/case_001_disdoc.md,case_started,,,,,Итеративное обновление каталога,gpt-5-mini,1.0,success
2026-09-25T19:49:39.912748+00:00,case_001_disdoc,data/train/case_001_disdoc.md,update,user_interface_channel,подробное описание параметра; примеры значений; важность (1-10); кейсы в которых он использовался; когда применять этот параметр оценки; когда не применять этот параметр,"{""параметр"": ""user_interface_channel"", ""подробное описание параметра"": ""Какие интерфейсы будут использоваться для взаимодействия с пользователями (Slack, web UI, API) — влияет на интеграцию, авторизацию, UX и поддерживаемую асинхронность."", ""примеры значений"": ""Slack; веб-панель; REST API; мобильный бот"", ""важность (1-10)"": 7, ""кейсы в которых он использовался"": ""case_000_disdoc"", ""когда применять этот параметр оценки"": ""Система будет общаться с конечными пользователями или интегрироваться в коммуникационные платформы."", ""когда не применять этот параметр"": ""Решение исключительно внутри машинных процессов без прямого пользовательского интерфейса.""}","{""параметр"": ""user_interface_channel"", ""подробное описание параметра"": ""Какие интерфейсы будут использоваться для взаимодействия с пользователями (Slack, web UI, API). Дополнительно учитывать conversational agent/интеграцию в треды инцидентов и API для автоматических рекомендаций — влияет на интеграцию, авторизацию, UX, stateful context и требования к RAG и latency."", ""примеры значений"": ""REST API; интеграция в внутренний incident platform thread; Slack bot / Teams integration; conversational agent with turn-based context"", ""важность (1-10)"": 8, ""кейсы в которых он использовался"": ""case_000_disdoc; case_001_disdoc"", ""когда применять этот параметр оценки"": ""Система будет общаться с on-call инженерами через API, уведомления или встраиваться в канал обсуждения инцидента (конверсационный бот)."", ""когда не применять этот параметр"": ""Решение только для оффлайн-пакетов/батч-анализа без интерактивного UX.""}","Изначально API-рекомендация (input title+summary), но в тексте чётко заявлена дорожная карта к разговорному (conversational) интерфейсу, что расширяет требования к UX, интеграциям и постоянному контекстному RAG. Важность увеличена, т.к. добавление разговорного UX повышает интеграционные и инженерные усилия.",gpt-5-mini,1.0,success
2026-09-25T19:49:39.917095+00:00,case_001_disdoc,data/train/case_001_disdoc.md,update,allowed_data_sources,подробное описание параметра; примеры значений; важность (1-10); кейсы в которых он использовался; когда применять этот параметр оценки; когда не применять этот параметр,"{""параметр"": ""allowed_data_sources"", ""подробное описание параметра"": ""Какие системы данных будут поддержаны (Snowflake, BigQuery, Postgres, internal lakes) — влияет на коннекторы, правовую привязку и оптимизацию SQL."", ""примеры значений"": ""Snowflake; Postgres; Redshift; Databricks; internal data lake"", ""важность (1-10)"": 9, ""кейсы в которых он использовался"": ""case_000_disdoc"", ""когда применять этот параметр оценки"": ""Система выполняет SQL против корпоративных баз данных."", ""когда не применять этот параметр"": ""Используется только предэкспортированный снапшот данных или заранее агрегированные API.""}","{""параметр"": ""allowed_data_sources"", ""подробное описание параметра"": ""Какие системы данных будут поддержаны — расширено для хранения и доступа к инцидентным источникам: internal incident management portals, discussion logs, telemetry/metrics stores и dependency graphs, помимо привычных DW. Влияет на коннекторы, права доступа, PII/комплаенс и предобработку текста/логов."", ""примеры значений"": ""IcM / internal incident portal; discussion logs; telemetry metrics store; service dependency graph store; Snowflake/BigQuery (if present)"", ""важность (1-10)"": 10, ""кейсы в которых он использовался"": ""case_000_disdoc; case_001_disdoc"", ""когда применять этот параметр оценки"": ""Система использует исторические инциденты, обсуждения, логи и метрики для RAG/fine-tuning."", ""когда не применять этот параметр"": ""Используется только фиксированный внешний корпус без internal data.""}","Исходный параметр ориентирован на DW; в кейсе ключевой источник — внутренний Incident Management (IcM) портал и (в будущем) логи, метрики и dependency graphs. Это расширяет описание и требует учёта системного доступа к internal tools, что повышает важность (доступ к IcM и логам критичен для полезности модели).",gpt-5-mini,1.0,success
2026-09-25T19:49:39.918932+00:00,case_001_disdoc,data/train/case_001_disdoc.md,update,knowledge_base_format_and_store,подробное описание параметра; примеры значений; важность (1-10); кейсы в которых он использовался; когда применять этот параметр оценки; когда не применять этот параметр,"{""параметр"": ""knowledge_base_format_and_store"", ""подробное описание параметра"": ""Формат и хранилище Knowledge Base (catalog, vector DB, relational store) — влияет на способы индексации, обновления и latency."", ""примеры значений"": ""in-house Lumos + vector DB; Alation; ElasticSearch + vector DB; DB table store"", ""важность (1-10)"": 8, ""кейсы в которых он использовался"": ""case_000_disdoc"", ""когда применять этот параметр оценки"": ""Система использует внешнюю KB для RAG и метаданных."", ""когда не применять этот параметр"": ""Нет RAG, всё в prompt’е/LLM.""}","{""параметр"": ""knowledge_base_format_and_store"", ""подробное описание параметра"": ""Формат и хранилище Knowledge Base — должен учитывать документные корпуса исторических инцидентов, troubleshooting guides, postmortem'ы и связанные артефакты. Рекомендуемые хранилища: векторное хранилище для retrieval (vector DB) + оригинальные документы в blob/object store или поисковый движок для полного текста. Влияет на индексирование, обновления, access control и latency RAG."", ""примеры значений"": ""vector DB (Milvus/Pinecone) + blob store for raw incident documents; ElasticSearch + vector DB; internal engineering knowledge hub + vector index"", ""важность (1-10)"": 9, ""кейсы в которых он использовался"": ""case_000_disdoc; case_001_disdoc"", ""когда применять этот параметр оценки"": ""RAG или retrieval используется для обогащения контекста LLM из исторических инцидентов/гайдов."", ""когда не применять этот параметр"": ""Модель генерирует ответы исключительно на основе fine-tuned weights без retrieval.""}","Кейс прямо планирует retrieval-augmented generation с корпусом исторических инцидентов и инженерных гайдов — нужно дополнить форматами (document store + vector DB) и операционными требованиями по обновлению и доступу. Важность повышена, так как качество KB напрямую влияет на точность рекомендаций и стоимость внедрения.",gpt-5-mini,1.0,success
2026-09-25T19:49:39.920630+00:00,case_001_disdoc,data/train/case_001_disdoc.md,update,embedding_model_and_vector_indexing,подробное описание параметра; примеры значений; важность (1-10); кейсы в которых он использовался; когда применять этот параметр оценки; когда не применять этот параметр,"{""параметр"": ""embedding_model_and_vector_indexing"", ""подробное описание параметра"": ""Какая модель эмбеддингов используется и тип индексирования (FAISS, Pinecone и т.д.) — влияет на качество поиска контекста и скорость retrieval."", ""примеры значений"": ""OpenAI embeddings + FAISS; in-house embeddings + Milvus; OpenAI + Pinecone"", ""важность (1-10)"": 8, ""кейсы в которых он использовался"": ""case_000_disdoc"", ""когда применять этот параметр оценки"": ""Retrieval via vector search используется для поиска метрик/SQL."", ""когда не применять этот параметр"": ""Никакого векторного поиска не применяется.""}","{""параметр"": ""embedding_model_and_vector_indexing"", ""подробное описание параметра"": ""Какая модель эмбеддингов используется и тип индексирования — важно для релевантности retrieval из корпуса инцидентов. Учитывать возможность использования поставщика (OpenAI/Azure embeddings) или internal embeddings, а также выбор индекса (FAISS, Milvus, Pinecone) с учётом latency/accuracy."", ""примеры значений"": ""Azure/OpenAI embeddings + FAISS; internal embeddings + Milvus; OpenAI embeddings + Pinecone"", ""важность (1-10)"": 9, ""кейсы в которых он использовался"": ""case_000_disdoc; case_001_disdoc"", ""когда применять этот параметр оценки"": ""Используется vector retrieval для наполнения контекста LLM (RAG)."", ""когда не применять этот параметр"": ""Нет использования вектора/не требуется retrieval.""}","Планируется использование retrieval via vector search для исторических инцидентов: нужно указать опции эмбеддингов (Azure/Microsoft embeddings, OpenAI, in-house) и подходы к индексированию. Повышена важность, т.к. качество эмбеддингов и индексирования критичны для релевантности рекомендаций.",gpt-5-mini,1.0,success
2026-09-25T19:49:39.922108+00:00,case_001_disdoc,data/train/case_001_disdoc.md,update,vector_index_size,подробное описание параметра; примеры значений; важность (1-10); кейсы в которых он использовался; когда применять этот параметр оценки; когда не применять этот параметр,"{""параметр"": ""vector_index_size"", ""подробное описание параметра"": ""Объём индекса вектора (число векторов) — влияет на latency поиска, стоимость хранения и обновления."", ""примеры значений"": ""<10k; 10k-100k; 100k-1M; >1M"", ""важность (1-10)"": 7, ""кейсы в которых он использовался"": ""case_000_disdoc"", ""когда применять этот параметр оценки"": ""Используется векторный индекс для retrieval."", ""когда не применять этот параметр"": ""Используется только метаданные без embeddings.""}","{""параметр"": ""vector_index_size"", ""подробное описание параметра"": ""Объём индекса вектора (число векторов) — для корпуса инцидентов число документов/векторов напрямую влияет на latency поиска, cost и частоту реиндексации. Учитывать, что один инцидент может порождать несколько векторов (title, summary, discussion chunks)."", ""примеры значений"": ""<10k; 10k-100k (40k incidents fits here); 100k-1M; >1M"", ""важность (1-10)"": 8, ""кейсы в которых он использовался"": ""case_000_disdoc; case_001_disdoc"", ""когда применять этот параметр оценки"": ""Используется векторный индекс для retrieval из корпуса инцидентов и гайдов."", ""когда не применять этот параметр"": ""Retrieval не применяется или индекс крайне мал.""}",Корпус исторических инцидентов >40k — это значимый объём для векторного индекса; обновление примеров и важности необходимо для правильного оценки latency и стоимости хранения/обновлений.,gpt-5-mini,1.0,success
2026-09-25T19:49:39.923543+00:00,case_001_disdoc,data/train/case_001_disdoc.md,update,prompt_token_limit_and_chunking_strategy,подробное описание параметра; примеры значений; кейсы в которых он использовался; когда применять этот параметр оценки; когда не применять этот параметр,"{""параметр"": ""prompt_token_limit_and_chunking_strategy"", ""подробное описание параметра"": ""Ограничения по токенам для LLM и стратегия нарезки контекста (снапшоты, few-shot) — влияет на количество LLM вызовов и логику многозвонковых промптов."", ""примеры значений"": ""8k tokens; 32k tokens; необходимость многократных вызовов для больших таблиц"", ""важность (1-10)"": 8, ""кейсы в которых он использовался"": ""case_000_disdoc"", ""когда применять этот параметр оценки"": ""LLM-генерация зависит от большого структурированного промпта."", ""когда не применять этот параметр"": ""Используется малый контекст без рисков token overflow.""}","{""параметр"": ""prompt_token_limit_and_chunking_strategy"", ""подробное описание параметра"": ""Ограничения по токенам для LLM и стратегия нарезки контекста. Сейчас входы короткие (title + summary), но при добавлении дискуссий/логов/метрик необходима стратегия chunking, retrieval-first pipelines и многоходовые промпты для агрегации контекста без потери релевантности."", ""примеры значений"": ""short prompt (title+summary); retrieval + top-k doc chunks; hierarchical RAG for long discussions; sliding-window chunking for logs"", ""важность (1-10)"": 8, ""кейсы в которых он использовался"": ""case_000_disdoc; case_001_disdoc"", ""когда применять этот параметр оценки"": ""Планируется добавление длинных контекстов (discussion logs, telemetry) или RAG с большим количеством документов."", ""когда не применять этот параметр"": ""Только короткие inputs (title+summary) без необходимости chunking.""}","Текущая версия использует короткие входы (title+summary), но в будущем планируется добавление дискуссий/логов/метрик, что потребует стратегии chunking/рекурсивного RAG. Нужно расширить описание и учесть multi-stage retrieval и prompt assembly.",gpt-5-mini,1.0,success
2026-09-25T19:49:39.924839+00:00,case_001_disdoc,data/train/case_001_disdoc.md,update,llm_provider_and_model,подробное описание параметра; примеры значений; кейсы в которых он использовался; когда применять этот параметр оценки; когда не применять этот параметр,"{""параметр"": ""llm_provider_and_model"", ""подробное описание параметра"": ""Поставщик LLM и конкретная модель (OpenAI GPT-4o, 3.5, hosted LLM) — влияет на latencies, cost, capabilities и SLA."", ""примеры значений"": ""OpenAI GPT-4o; GPT-3.5; in-house LLM; Anthropic Claude"", ""важность (1-10)"": 10, ""кейсы в которых он использовался"": ""case_000_disdoc"", ""когда применять этот параметр оценки"": ""Система генерирует SQL с помощью LLM."", ""когда не применять этот параметр"": ""SQL генерируется детерминированным движком без LLM.""}","{""параметр"": ""llm_provider_and_model"", ""подробное описание параметра"": ""Поставщик LLM и конкретная модель — в исследовании использовались GPT-3 и GPT-3.5 (Davinci-002) с дообучением. Нужно учитывать fine-tuning capabilities выбранного провайдера (возможность дообучения на internal data) и варианты self-host vs cloud (Azure/MS internal)."", ""примеры значений"": ""GPT-3.5 (Davinci-002) fine-tuned; GPT-3 family; in-house Azure-hosted LLM; Anthropic/other providers for comparison"", ""важность (1-10)"": 10, ""кейсы в которых он использовался"": ""case_000_disdoc; case_001_disdoc"", ""когда применять этот параметр оценки"": ""Система генерирует текстовые рекомендации и требует fine-tuning/высокую точность моделей."", ""когда не применять этот параметр"": ""Решение не использует LLM или использует только очень простые rule-based генераторы.""}",В статье указано использование GPT-3 и GPT-3.5 (Davinci-002) и что fine-tuned GPT-3.5 давал лучшие результаты — нужно добавить это как явный кейс использования и учитывать fine-tuning и Azure/MS internal infra. Важность оставлена 10 (без изменений).,gpt-5-mini,1.0,success
2026-09-25T19:49:39.926685+00:00,case_001_disdoc,data/train/case_001_disdoc.md,update,model_output_validation_automation,подробное описание параметра; примеры значений; кейсы в которых он использовался; когда применять этот параметр оценки; когда не применять этот параметр,"{""параметр"": ""model_output_validation_automation"", ""подробное описание параметра"": ""Насколько автоматизирована проверка синтаксиса/семантики SQL до выполнения (linter, static analysis, test-execute) — влияет на частоту ошибок в проде и дополнительную логику пред-исполнения."", ""примеры значений"": ""static linter + dry-run; only execution-based feedback; no validation"", ""важность (1-10)"": 9, ""кейсы в которых он использовался"": ""case_000_disdoc"", ""когда применять этот параметр оценки"": ""Generated SQL часто бывает синтаксически/семантически неверным."", ""когда не применять этот параметр"": ""LLM гарантирует корректный SQL (не реально).""}","{""параметр"": ""model_output_validation_automation"", ""подробное описание параметра"": ""Насколько автоматизирована проверка выходов модели до/после выдачи рекомендаций. Для инцидентных рекомендаций это включает автоматические метрики lexical/semantic (BLEU/ROUGE/BERTScore/BLEURT/NUBIA), top-k reranking, sanity checks (например, наличие action items), и human-in-loop подтверждение перед применением критичных mitigation steps."", ""примеры значений"": ""lexical+semantic scoring + thresholding; top-5 generation + reranker; automatic flagging for analyst review; no validation (not acceptable for prod)"", ""важность (1-10)"": 9, ""кейсы в которых он использовался"": ""case_000_disdoc; case_001_disdoc"", ""когда применять этот параметр оценки"": ""Generated recommendations используются в production и могут влиять на операционные действия инженеров."", ""когда не применять этот параметр"": ""Только исследовательская версия без применения рекомендаций в реальном процессе.""}","Изначальная формулировка была ориентирована на SQL; для этого кейса необходима автоматизация валидации текстовых рекомендаций (lexical/semantic metrics, top-K evaluation, human-in-loop verification), поэтому описание расширено, сохраняя идею автоматической проверки перед применением рекомендаций в продакшене. Важность оставлена высокой (9).",gpt-5-mini,1.0,success
2026-09-25T19:49:39.928015+00:00,case_001_disdoc,data/train/case_001_disdoc.md,update,offline_evaluation_metrics_and_thresholds,подробное описание параметра; примеры значений; кейсы в которых он использовался; когда применять этот параметр оценки; когда не применять этот параметр,"{""параметр"": ""offline_evaluation_metrics_and_thresholds"", ""подробное описание параметра"": ""Какие offline метрики и пороги качества используются (first-shot acceptance rate target, execution success rate) — влияет на требования к доработке моделей и KB."", ""примеры значений"": ""first-shot acceptance >80%; execution success >95%; human QA pass rate >90%"", ""важность (1-10)"": 8, ""кейсы в которых он использовался"": ""case_000_disdoc"", ""когда применять этот параметр оценки"": ""Планируется оценка производительности до/после релиза чартеров."", ""когда не применять этот параметр"": ""Только онлайн мониторинг и пользователи оценивают результаты.""}","{""параметр"": ""offline_evaluation_metrics_and_thresholds"", ""подробное описание параметра"": ""Какие offline метрики и пороги качества используются для оценки генеративной модели: lexical и semantic metrics, а также human usefulness thresholds. Эти метрики используются для выбора модели и оценки эффективности fine-tuning перед деплоем."", ""примеры значений"": ""BLEU-4, ROUGE-L, METEOR; BERTScore, BLEURT, NUBIA; human usefulness target: ≥3/5 in >70% of cases"", ""важность (1-10)"": 8, ""кейсы в которых он использовался"": ""case_000_disdoc; case_001_disdoc"", ""когда применять этот параметр оценки"": ""Планируется rigorous offline evaluation и выбор модели на основе метрик и human eval."", ""когда не применять этот параметр"": ""Только online feedback без офлайн-оценки.""}","В кейсе приведён набор конкретных офлайн-метрик (BLEU-4, ROUGE-L, METEOR, BERTScore, BLEURT, NUBIA) и критерий человеческой полезности (≥3/5 в >70% случаев). Нужно расширить примерные значения и добавить связь с порогами приемлемости.",gpt-5-mini,1.0,success
